,page_index,page_element_index,farm_id,user_name,farm_name,gender,spouse,pet_type,pet_name,total_earnings,favorite_thing,time_played,farming_skill,mining_skill,foraging_skill,fishing_skill,combat_skill
51,775,4,1PuDco,Akash,Wooper,Male,Unmarried,cat,Harry,3946,Bape Pizza,2.9 hours,2,1,2,1,0
52,7434,1,1IaKFT,ica,uwu,Female,Unmarried,cat,ucing,19137,dion,10.1 hours,,,,,
53,12210,8,1Fgjbt,Tom,Porkopolis,Male,Unmarried,cat,Brumbo,1504269,Monica,51.1 hours,,,,,
54,10690,3,1FSZXc,晓晨,光明,Male,Penny,dog,浪子,40381642,威士忌,138.3 hours,10,10,10,10,10
55,14150,7,1DHkrB,Ashley,Hartville,Female,Unmarried,dog,Lana,251157,Dogs,41.6 hours,9,8,9,0,8
56,11685,0,1FqNLQ,Wyatt D.,Stardrop,Male,Haley,dog,Dosi,1312271,Games,60.5 hours,10,10,10,10,9
57,3211,7,1LyvdO,Giles,Bigfarm,Male,Unmarried,cat,Dandelion,108405,Xavier,14.9 hours,8,5,5,7,4
58,9933,14,1GtP1y,NaNa,Lovely,Female,Unmarried,cat,味噌,558488,sd,33.2 hours,9,9,8,10,9
59,1748,17,1NzdMt,John,Starter,Male,Unmarried,cat,Mew,226582,Stardew,16.5 hours,10,7,7,4,5
60,1355,14,1Oet5g,まお,もちごめ,Female,Sebastian,cat,ミルク,501289,納豆,59.0 hours,10,9,9,7,9
61,686,13,1PIuER,Gabs,Marxistas,Female,Unmarried,dog,Sandy,28382,!$#o,3.7 hours,4,1,1,6,0
62,534,0,1Q9ljX,Nina<,Rawr<:P,Female,Mudkip,dog,DogDoguinho,8155933,Dog<,96.9 hours,10,10,10,10,10
63,5393,17,1JzIrv,Verge,Enchilada,Female,Unmarried,dog,V Max,1224779,Fidget Spinner,88.6 hours,10,9,10,10,8
64,12331,10,1FcbMR,El,El,Male,Penny,cat,Cina,1053226,PC,92.8 hours,10,10,10,9,9
65,9694,12,1GFGiE,Sansa,Winterfell,Female,Unmarried,cat,Miso,355081,fries,41.0 hours,10,8,9,6,7
66,5908,3,1Jl51Q,Sky,Blue's,Female,Abigail,cat,Cass,5877517,Food,162.7 hours,,,,,
67,4629,11,1Kev5n,Ian,Scrote,Male,Unmarried,dog,Blondi,4363279,Tots,81.7 hours,10,10,10,10,10
68,4560,15,1KjsHb,Bradas,Bradas Valley,Male,Unmarried,dog,Koke,14662854,My Home,143.8 hours,10,10,10,10,10
69,9233,9,1GXk1g,Blue,Jelly,Female,Penny,dog,Nemo,6658206,Mermaids,103.8 hours,10,10,10,10,10
70,6167,13,1JbKqc,Luna,Grizzly Doe,Female,Sebastian,dog,Dober,259843,hot dogs,109.6 hours,10,7,8,10,7
71,13271,8,1EsOiZ,Helen,Head Higher,Female,Leah,dog,Lucy,23858342,Thomson,192.1 hours,10,10,10,10,10
72,6964,17,1IENUU,Plum,Lavender,Female,Harvey,cat,Link,9861684,Matcha,124.9 hours,10,10,10,10,10
73,1624,1,1NNomc,Claire,Bangtan,Female,Unmarried,cat,Yoongi,1428369,BTS,92.9 hours,10,10,10,8,8
74,8831,3,1HcgoK,Túlio,Cohab I,Male,Unmarried,NA,NA,3475,Doce,1.7 hours,,,,,
75,2014,12,1NamE1,Lego,Channelpoints,Male,Unmarried,cat,Kenjeye,442651,Twitch,75.2 hours,10,8,10,9,7
76,12921,0,1EGX0C,小澄,小澄,Female,Alex,cat,味噌,105267,画画,17.0 hours,8,5,6,3,3
77,3830,4,1L3zat,FutuRé_,BSMT,Male,Unmarried,dog,Browny,269629,ConcernedApe,28.8 hours,10,6,6,10,6
78,8500,4,1HmCmf,咬洗里,啊呜,Female,Unmarried,NA,NA,272,抹茶拿铁,0.6 hours,0,1,1,0,0
79,15000,7,1D8qW9,Colby,Springside,Male,Emily,dog,Rousaou,349943,Music,47.5 hours,10,8,9,10,8
